controller_call_index,executed_step_index,mode_before,mode_after,moved,x_m,y_m,event_type,episode_index,entry_multiplier_initial,entry_threshold_current,exit_threshold_current,base_hazard_reference,trigger_measurement,radiation_quantity,radiation_unit,transition_reason,normal_route_interrupted,normal_route_replanned,mission_complete,completion_reason
74,74,RADIATION,RADIATION,True,522600.9204974669,5697184.290406496,,1,0.01,0.1,0.09000000000000001,10.0,1.1757415322929492,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
75,75,RADIATION,RADIATION,True,522620.9204974669,5697184.290406496,,1,0.01,0.1,0.09000000000000001,10.0,1.1204449491619695,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
76,76,RADIATION,RADIATION,True,522620.9204974669,5697204.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.9242903154705802,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
77,77,RADIATION,RADIATION,True,522640.9204974669,5697204.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.8797178660274776,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
78,78,RADIATION,RADIATION,True,522620.9204974669,5697224.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.7782913873773787,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
79,79,RADIATION,RADIATION,True,522600.9204974669,5697244.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.6786128924354629,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
80,80,RADIATION,RADIATION,True,522580.9204974669,5697244.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.6827249714603665,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
81,81,RADIATION,RADIATION,True,522560.9204974669,5697244.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.6779257938755034,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
82,82,RADIATION,RADIATION,True,522540.9204974669,5697244.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.6641098840670321,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
83,83,RADIATION,RADIATION,True,522520.9204974669,5697224.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.7530634361052617,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
