Dataset,Algorithm,Environment Type,Climate,Environment Size,n_agents,Budget (m),Likelihood Score,Time-Discounted Score,Victims Found (%),Area Covered (km²),Total Path Length (km)
28,Concentric,mountainous,temperate,medium,5,300000,0.25073258786134,2.357940156284674e-05,61.0,19.83051122794908,300.0000000000007
28,Pizza,mountainous,temperate,medium,5,300000,0.29120643675886254,0.004984370069406919,82.0,19.43637045399479,299.99999999999983
29,RandomWalk,mountainous,temperate,medium,5,300000,0.028273890184488042,0.00234961442583159,3.0,3.6639916913964155,299.99999999999943
29,Greedy,mountainous,temperate,medium,5,300000,0.18257705638223184,0.007763552288444736,48.0,11.143596113595182,300.00000000000006
29,Spiral,mountainous,temperate,medium,5,300000,0.18454443568693918,0.0010089249310777032,60.0,19.896533265787923,299.99999999999983
29,Concentric,mountainous,temperate,medium,5,300000,0.1898994337613328,0.0011193987703383894,56.99999999999999,19.830511227949085,299.99999999999983
29,Pizza,mountainous,temperate,medium,5,300000,0.22430451332782828,0.001940788470213472,76.0,19.436370453994584,300.0000000000006
30,RandomWalk,mountainous,temperate,medium,5,300000,0.05518627155967878,0.00020681337320061367,23.0,3.473158287555706,300.00000000000006
30,Greedy,mountainous,temperate,medium,5,300000,0.21349159995501552,0.0061759125856364495,56.99999999999999,10.239763424448636,300.0
30,Spiral,mountainous,temperate,medium,5,300000,0.2346761720402262,0.0005136955165543964,69.0,19.896533265787888,299.9999999999998
30,Concentric,mountainous,temperate,medium,5,300000,0.23709492803712542,0.0004601184312783742,69.0,19.83051122794895,299.9999999999998
30,Pizza,mountainous,temperate,medium,5,300000,0.28706738717513575,0.0021307426965807147,84.0,19.436370453994538,300.0000000000007
31,RandomWalk,flat,dry,medium,5,300000,0.06688831107652846,1.8121002029750325e-09,28.999999999999996,3.6622643681161775,299.99999999999983
31,Greedy,flat,dry,medium,5,300000,0.1465981214326714,2.638888908987047e-07,71.0,5.35996459316735,300.00000000000006
31,Spiral,flat,dry,medium,5,300000,0.18095303670465965,7.328482997967315e-05,99.0,13.856769137577615,209.0805295421799
31,Concentric,flat,dry,medium,5,300000,0.18020663663394265,8.313701009298351e-05,99.0,13.687792475253133,207.58626227618768
31,Pizza,flat,dry,medium,5,300000,0.18016082408998127,0.001029983264776485,99.0,13.691072804383936,212.16980046765994
32,RandomWalk,flat,dry,medium,5,300000,0.053785544462749,0.001351718481964094,21.0,3.3899589269560777,300.0
32,Greedy,flat,dry,medium,5,300000,0.16077866598209067,0.0034135334961873957,67.0,9.073279189658036,300.0
32,Spiral,flat,dry,medium,5,300000,0.2018623938797181,0.0009719703183797189,100.0,13.856769137577741,209.08052954218007
32,Concentric,flat,dry,medium,5,300000,0.20084968927263683,0.0009371496948151135,99.0,13.687792475280904,207.58626227618873
32,Pizza,flat,dry,medium,5,300000,0.20081390539648605,0.0017960688361250306,99.0,13.691072804384113,212.16980046766173
33,RandomWalk,flat,dry,medium,5,300000,0.07278075895968206,0.007611439102020522,22.0,2.6785646388907134,299.99999999999994
33,Greedy,flat,dry,medium,5,300000,0.197673234495157,0.020572969886008312,62.0,5.264052136257476,300.0000000000005
33,Spiral,flat,dry,medium,5,300000,0.24098262319532676,0.0037779927722745355,100.0,13.856769137577619,209.0805295421799
33,Concentric,flat,dry,medium,5,300000,0.23810413123147964,0.003559912090308323,100.0,13.687792475253133,207.58626227618768
33,Pizza,flat,dry,medium,5,300000,0.23861954393297496,0.006830118638667098,100.0,13.691072804383952,212.16980046765997
34,RandomWalk,flat,dry,medium,5,300000,0.010797138780067328,1.7400526536454873e-17,14.000000000000002,3.4221649539373935,300.0000000000001
34,Greedy,flat,dry,medium,5,300000,0.018289286067932196,1.5237554636266475e-84,40.0,3.494867200233875,299.9999999999999
34,Spiral,flat,dry,medium,5,300000,0.045324037458297425,6.003046621134497e-17,100.0,13.856769137577555,209.08052954218044
34,Concentric,flat,dry,medium,5,300000,0.0446844064935779,8.762550020152782e-17,99.0,13.68779247532254,207.5862622761895
34,Pizza,flat,dry,medium,5,300000,0.044991711934259826,5.860657472406476e-09,99.0,13.69107280438377,212.1698004676618
35,RandomWalk,flat,dry,medium,5,300000,0.049421181551925895,9.850195251774501e-05,17.0,4.168950552536621,299.9999999999998
35,Greedy,flat,dry,medium,5,300000,0.16669766832341468,6.308105052953356e-08,64.0,6.373997387086159,299.99999999999966
35,Spiral,flat,dry,medium,5,300000,0.228751125444794,5.453036910022988e-07,100.0,13.856769137577622,209.08052954217985
35,Concentric,flat,dry,medium,5,300000,0.22702362346160088,1.1107193059274728e-06,97.0,13.687792475253115,207.58626227618768
35,Pizza,flat,dry,medium,5,300000,0.22713151228257172,0.0006773258525014583,97.0,13.691072804383941,212.16980046765994
36,RandomWalk,flat,dry,medium,5,300000,0.07399910913210067,0.0012693346337714286,23.0,3.4072671536580357,300.0
36,Greedy,flat,dry,medium,5,300000,0.252231131842036,0.004482587584338667,80.0,11.120371061783313,299.9999999999998
36,Spiral,flat,dry,medium,5,300000,0.28039934842551834,0.0012561925611371458,99.0,13.8567691375777,209.08052954218013
36,Concentric,flat,dry,medium,5,300000,0.27859650142856635,0.0012111897424912784,98.0,13.687792475322825,207.58626227618814
36,Pizza,flat,dry,medium,5,300000,0.2786091831572014,0.002321702916243225,98.0,13.691072804383705,212.16980046766008
37,RandomWalk,flat,dry,medium,5,300000,0.02561268783505406,0.0006680963913476596,32.0,3.7068307071810023,300.0000000000001
37,Greedy,flat,dry,medium,5,300000,0.0686532456914361,0.003723284040598255,64.0,5.909705335954475,300.0000000000001
37,Spiral,flat,dry,medium,5,300000,0.09689174913797696,0.0005447103489225432,99.0,13.856769137577732,209.08052954218007
37,Concentric,flat,dry,medium,5,300000,0.09634701630114813,0.0004835772123611694,95.0,13.687792475280942,207.58626227618873
37,Pizza,flat,dry,medium,5,300000,0.09616167160718159,0.0010703291893199446,95.0,13.691072804384087,212.1698004676618
38,RandomWalk,flat,dry,medium,5,300000,0.03233480357336973,0.0003045603053866698,18.0,3.440307402986273,300.00000000000017
38,Greedy,flat,dry,medium,5,300000,0.1280167534402619,0.004875339902114479,84.0,5.253522780529823,299.9999999999999
38,Spiral,flat,dry,medium,5,300000,0.14204191778161432,0.00037758051980447277,99.0,13.856769137577738,209.08052954218007
38,Concentric,flat,dry,medium,5,300000,0.14104111883735795,0.0003743826891690138,98.0,13.687792475280927,207.58626227618873
38,Pizza,flat,dry,medium,5,300000,0.14118828366825661,0.0004698383472398832,98.0,13.691072804384117,212.16980046766173
39,RandomWalk,flat,dry,medium,5,300000,0.0395436841176714,0.0019428906934332059,18.0,3.743821834236599,299.99999999999955
39,Greedy,flat,dry,medium,5,300000,0.08950967320707119,0.02033302116552467,49.0,4.135986402745329,300.0000000000001
39,Spiral,flat,dry,medium,5,300000,0.1554421319173915,0.0006316918309442811,99.0,13.856769137577722,209.0805295421801
39,Concentric,flat,dry,medium,5,300000,0.154646923819107,0.0007356801024651642,100.0,13.687792475322771,207.58626227618817
39,Pizza,flat,dry,medium,5,300000,0.15464986004211997,0.00085582039264782,100.0,13.691072804383696,212.16980046766005
40,RandomWalk,flat,dry,medium,5,300000,0.028908492876361113,9.909976252883582e-05,28.999999999999996,3.759320991422027,299.99999999999966
40,Greedy,flat,dry,medium,5,300000,0.07257506944741374,8.805015262196822e-06,63.0,4.668157861059547,300.0000000000002
40,Spiral,flat,dry,medium,5,300000,0.09096239674954347,9.20995174264197e-05,99.0,13.856769137577714,209.08052954218013
40,Concentric,flat,dry,medium,5,300000,0.09062866827100903,7.928465288126807e-05,99.0,13.68779247532279,207.58626227618814
40,Pizza,flat,dry,medium,5,300000,0.09052973985674086,0.00026605561088555065,99.0,13.691072804383685,212.16980046766005
41,RandomWalk,flat,dry,medium,5,300000,0.028466078725798854,0.0006208409674468096,14.000000000000002,3.111157239946962,300.0000000000001
41,Greedy,flat,dry,medium,5,300000,0.08825656151046624,0.0013262365996661966,63.0,6.551641848233034,300.00000000000085
