survivor_id,x_m,y_m,original_found,radiation_aware_found,original_discovery_distance_m,radiation_aware_discovery_distance_m,discovery_distance_delta_aware_minus_original_m,original_pre_discovery_total_dose,radiation_aware_pre_discovery_total_dose,dose_unit,dose_delta_original_minus_radiation_aware,dose_reduction_ratio,dose_reduction_percent
41,522744.417387037,5696825.7889852645,True,True,2454.8716274295975,2454.8716274295975,0.0,0.0175170728662629,0.0175170728662629,uSv,0.0,0.0,0.0
42,523338.25290866964,5696873.403281674,True,True,4125.780938230423,6002.397397837873,1876.6164596074495,0.06525160929005604,0.09493138285120736,uSv,-0.029679773561151326,-0.45485121185623156,-45.48512118562316
43,522656.59437759244,5697008.817315101,True,True,10354.544972394395,14847.188786736986,4492.643814342591,0.06828825338310646,0.09791725204715197,uSv,-0.029628998664045517,-0.43388133677724594,-43.388133677724596
44,523153.92652129923,5696520.330496059,True,True,29573.131309858152,17353.666462999114,-12219.464846859039,0.5237100976482397,0.3073157949581985,uSv,0.21639430269004123,0.41319482603405283,41.319482603405284
45,523160.3928243879,5696525.877406251,True,True,28727.294622409394,17346.05000691225,-11381.244615497144,0.5337410200072098,0.3222822944337843,uSv,0.2114587255734255,0.3961822637701129,39.61822637701129
46,522482.4912460878,5696865.270520346,True,True,1917.440476184551,1917.440476184551,0.0,0.012208677994879397,0.012208677994879397,uSv,0.0,0.0,0.0
47,523179.45895962144,5696525.12006367,True,True,28709.87197280521,17177.125566297073,-11532.746406508137,0.5956998470296343,0.3564074086413347,uSv,0.2392924383882996,0.4016996807729506,40.16996807729506
48,522733.72585402406,5697028.284232413,True,True,10265.46448137452,12069.13980505279,1803.6753236782697,0.06933860439167003,0.08152162153097818,uSv,-0.012183017139308153,-0.17570323553803394,-17.57032355380339
49,522980.9209025684,5697301.693496049,True,True,43330.314266137844,40514.43548135046,-2815.8787847873828,0.28890093398542305,0.27012631799906817,uSv,0.01877461598635488,0.0649863457599697,6.498634575996969
50,522707.49577370915,5697113.546323872,True,True,8091.521292477319,12207.988822290261,4116.467529812942,0.05308399439317836,0.08008986033280673,uSv,-0.027005865939628365,-0.5087383918324503,-50.873839183245025
51,522979.09765757894,5697571.673698722,True,True,14742.092232091502,54458.1612394572,39716.0690073657,0.09147395495660259,0.33791020364080093,uSv,-0.24643624868419833,-2.6940591865861,-269.40591865861006
52,522842.9933938756,5696802.147391681,True,True,256.5049803817723,256.5049803817723,0.0,0.0019889414154640674,0.0019889414154640674,uSv,0.0,0.0,0.0
53,522898.14365523,5697430.293078377,True,True,13057.854540149727,13825.982540764562,768.1280006148354,0.08273952982037781,0.08760668080734306,uSv,-0.004867150986965246,-0.058824977583647346,-5.882497758364735
54,522713.9223017784,5697005.000937431,True,True,47672.55436294532,66541.55298799425,18868.99862504893,0.32132000152283846,0.44849981699435354,uSv,-0.12717981547151508,-0.39580422902019535,-39.580422902019535
55,522897.7941043027,5696567.492125103,True,True,3384.0627646555486,3384.0627646555486,0.0,0.029094578450119105,0.029094578450119105,uSv,0.0,0.0,0.0
56,522947.64743694675,5697455.998408939,True,True,13116.24263864628,13765.037517058867,648.7948784125874,0.08313298241201933,0.08724515498323737,uSv,-0.004112172571218042,-0.04946499514281237,-4.946499514281237
57,522875.374213182,5696637.524586228,True,True,4766.114770253334,16209.049148344555,11442.93437809122,0.03980975198789338,0.13538873016288538,uSv,-0.095578978174992,-2.400893585171259,-240.0893585171259
58,523338.98575191404,5696622.716228699,False,True,,4128.357248601689,,50.13406781625852,2.3732545276979073,uSv,47.76081328856061,0.9526618399209916,95.26618399209916
59,522781.4597655995,5697043.503574454,True,True,10214.856987012627,12018.532310690896,1803.6753236782697,0.0700527516078101,0.08242222673520712,uSv,-0.012369475127397014,-0.176573722566209,-17.657372256620903
60,522877.918900796,5697340.05158372,True,True,7158.266485102148,12714.11185000459,5555.845364902442,0.046223169236485055,0.08209900329324998,uSv,-0.03587583405676493,-0.7761439695581772,-77.61439695581771
61,523018.0174790022,5696394.4724619975,True,True,30187.069066341064,18362.141079791978,-11824.927986549086,0.2874804478404522,0.17486813739112014,uSv,0.11261231044933204,0.3917216328806833,39.17216328806833
62,523081.11736861465,5696415.409554907,True,True,30250.931897092927,19041.43620514866,-11209.495691944267,0.3356330522336082,0.21126408185328463,uSv,0.12436897038032355,0.3705504256885878,37.05504256885878
