step_index,x_m,y_m,platform_altitude_m,value_reference_height_m,value,quantity,unit,sampling_contract
96,522700.9204974669,5696904.290406497,50.0,1.0,0.04670704177390664,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
97,522720.9204974669,5696904.290406497,50.0,1.0,0.04913892521336738,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
98,522740.9204974669,5696904.290406497,50.0,1.0,0.051752111616277185,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
99,522760.9204974669,5696884.290406497,50.0,1.0,0.05592406714491577,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
100,522780.9204974669,5696864.290406497,50.0,1.0,0.060591757316973804,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
101,522760.9204974669,5696844.290406497,50.0,1.0,0.058528936800477105,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
102,522740.9204974669,5696824.290406497,50.0,1.0,0.05639764578909551,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
103,522720.9204974669,5696804.290406497,50.0,1.0,0.05422726657187538,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
104,522720.9204974669,5696784.290406497,50.0,1.0,0.05508125770591776,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
105,522720.9204974669,5696764.290406497,50.0,1.0,0.05586253838386673,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
106,522720.9204974669,5696744.290406497,50.0,1.0,0.05656373331521536,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
107,522720.9204974669,5696724.290406497,50.0,1.0,0.05717794509095575,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
108,522740.9204974669,5696704.290406497,50.0,1.0,0.06133551878864624,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
109,522760.9204974669,5696684.290406497,50.0,1.0,0.06586629086731782,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
110,522740.9204974669,5696664.290406497,50.0,1.0,0.062173806478954374,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
111,522760.9204974669,5696644.290406497,50.0,1.0,0.06654931969828543,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
112,522760.9204974669,5696624.290406497,50.0,1.0,0.06668205684693085,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
113,522760.9204974669,5696604.290406497,50.0,1.0,0.06667277214725115,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
114,522740.9204974669,5696604.290406497,50.0,1.0,0.06252263005251019,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
115,522720.9204974669,5696624.290406497,50.0,1.0,0.058755432452432366,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
116,522700.9204974669,5696644.290406497,50.0,1.0,0.05522056046434415,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
117,522680.9204974669,5696644.290406497,50.0,1.0,0.05208121952013628,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
118,522680.9204974669,5696624.290406497,50.0,1.0,0.05216247997566553,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
119,522680.9204974669,5696604.290406497,50.0,1.0,0.0521567982597525,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
120,522700.9204974669,5696584.290406497,50.0,1.0,0.05520146267885628,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
121,522680.9204974669,5696584.290406497,50.0,1.0,0.05206423113025255,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
122,522660.9204974669,5696604.290406497,50.0,1.0,0.04926948517031879,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
123,522640.9204974669,5696584.290406497,50.0,1.0,0.046541481038782,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
124,522620.9204974669,5696564.290406497,50.0,1.0,0.043975605782102245,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
125,522600.9204974669,5696544.290406497,50.0,1.0,0.04156699104698197,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
126,522600.9204974669,5696524.290406497,50.0,1.0,0.04134343129211468,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
127,522620.9204974669,5696504.290406497,50.0,1.0,0.04323362399438185,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
128,522640.9204974669,5696484.290406497,50.0,1.0,0.04517395123178963,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
129,522660.9204974669,5696484.290406497,50.0,1.0,0.047662014356171206,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
130,522680.9204974669,5696484.290406497,50.0,1.0,0.05035884113857708,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
131,522700.9204974669,5696484.290406497,50.0,1.0,0.05328813382927261,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
132,522720.9204974669,5696484.290406497,50.0,1.0,0.056477004496169714,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
133,522740.9204974669,5696484.290406497,50.0,1.0,0.0599565706707586,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
134,522760.9204974669,5696484.290406497,50.0,1.0,0.06376267350606063,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
135,522780.9204974669,5696484.290406497,50.0,1.0,0.06793674739301636,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
136,522800.9204974669,5696484.290406497,50.0,1.0,0.07252687766645866,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
137,522820.9204974669,5696504.290406497,50.0,1.0,0.07877538260330508,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
138,522840.9204974669,5696524.290406497,50.0,1.0,0.08572910250305471,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
139,522860.9204974669,5696544.290406497,50.0,1.0,0.0934668582975558,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
140,522880.9204974669,5696564.290406497,50.0,1.0,0.10206884676417971,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
141,522900.9204974669,5696584.290406497,50.0,1.0,0.11161165339700935,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
142,522920.9204974669,5696584.290406497,50.0,1.0,0.12165367997274112,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
