survivor_id,x_m,y_m,original_found,radiation_aware_found,original_discovery_distance_m,radiation_aware_discovery_distance_m,discovery_distance_delta_aware_minus_original_m,original_pre_discovery_total_dose,radiation_aware_pre_discovery_total_dose,dose_unit,dose_delta_original_minus_radiation_aware,dose_reduction_ratio,dose_reduction_percent
50,522707.49577370915,5697113.546323872,True,True,8091.521292477319,2988.522259007022,-5102.999033470296,0.32054515642914627,0.11839013955212635,uSv,0.20215501687701992,0.6306600265903707,63.06600265903707
51,522979.09765757894,5697571.673698722,True,False,14742.092232091502,,,0.14123796396443467,0.8314748609253937,uSv,-0.690236896960959,-4.887049328569821,-488.7049328569821
52,522842.9933938756,5696802.147391681,True,False,256.5049803817723,,,0.008563701592369946,2.8974938479286796,uSv,-2.8889301463363095,-337.3459613434309,-33734.59613434309
53,522898.14365523,5697430.293078377,True,True,13057.854540149727,60812.49664257808,47754.642102428355,0.15579452460053572,0.7255597751584,uSv,-0.5697652505578643,-3.6571583758721204,-365.71583758721204
54,522713.9223017784,5697005.000937431,True,True,47672.55436294532,3362.888696334382,-44309.665666610934,2.286753863880236,0.16131081757429677,uSv,2.1254430463059393,0.9294586006293746,92.94586006293746
55,522897.7941043027,5696567.492125103,True,True,3384.0627646555486,12581.87408578905,9197.8113211335,0.1021020371624474,0.3796132237550936,uSv,-0.2775111865926462,-2.7179789385702224,-271.79789385702225
56,522947.64743694675,5697455.998408939,True,True,13116.24263864628,60887.21543216159,47770.972793515306,0.14793312778098736,0.6867238178573446,uSv,-0.5387906900763573,-3.6421232901532936,-364.2123290153294
57,522875.374213182,5696637.524586228,True,True,4766.114770253334,12184.586972588433,7418.472202335099,0.18062627281140856,0.4617716183297261,uSv,-0.2811453455183175,-1.5565030554102206,-155.65030554102208
58,523338.98575191404,5696622.716228699,False,True,,65238.39461162598,,1.0325942650158941,0.7724441277088651,uSv,0.2601501373070291,0.25193839063499424,25.19383906349942
59,522781.4597655995,5697043.503574454,True,True,10214.856987012627,3745.960740212463,-6468.896246800164,0.3346626412101503,0.12272644803377342,uSv,0.2119361931763769,0.6332830949101733,63.32830949101733
60,522877.918900796,5697340.05158372,True,True,7158.266485102148,15777.223083433877,8618.95659833173,0.10260667520555676,0.22615089951410375,uSv,-0.12354422430854699,-1.2040564033582128,-120.40564033582129
61,523018.0174790022,5696394.4724619975,True,True,30187.069066341064,64238.42249056358,34051.353424222514,0.41548427789757025,0.8841552163648297,uSv,-0.4686709384672595,-1.128011247113426,-112.80112471134261
62,523081.11736861465,5696415.409554907,True,True,30250.931897092927,64292.27675037912,34041.344853286195,0.3909543981742103,0.8308950101008198,uSv,-0.4399406119266095,-1.1252990476157039,-112.52990476157038
63,522770.0664098702,5696753.747348736,False,True,,19428.958277151047,,3.967625555844726,0.8839227189625959,uSv,3.0837028368821304,0.777216194794268,77.72161947942679
64,523175.7191494098,5696687.15984463,True,True,3712.176601574767,59067.00814695254,55354.831545377776,0.06678084150676022,1.0625961350186872,uSv,-0.995815293511927,-14.911691303128018,-1491.1691303128018
65,523434.74895389134,5696826.280381553,True,True,4028.12057393225,63581.93361328044,59553.81303934819,0.048410501319290165,0.7641363322111178,uSv,-0.7157258308918276,-14.784515991092038,-1478.4515991092037
66,522904.3889521106,5696786.055942155,True,True,4942.911566961438,5855.438551198834,912.5269842373955,0.16043510583800558,0.19005355264063778,uSv,-0.029618446802632203,-0.18461325311517868,-18.461325311517868
67,523218.7080393648,5697039.669150325,True,True,5737.123010469204,5213.467884347745,-523.655126121459,0.17566185501072445,0.15962834297472447,uSv,0.01603351203599998,0.09127486462568159,9.127486462568159
68,522769.4898960521,5696530.872402585,True,True,594.308825844686,11123.51938769167,10529.210561846983,0.048077918775923476,0.899861550707664,uSv,-0.8517836319317406,-17.71673262109461,-1771.6732621094611
69,523057.0620742013,5697099.501879108,True,True,9837.95977547755,4169.885998272395,-5668.073777205154,0.4522132789819672,0.19167366642015163,uSv,0.26053961256181557,0.5761432153172243,57.61432153172243
70,523193.7340869445,5696585.5976204695,True,True,29137.32364249471,63198.05821195754,34060.73456946283,0.41024329130808923,0.8898064806247891,uSv,-0.47956318931669983,-1.1689726547083301,-116.897265470833
71,522602.99009687745,5697268.728193819,True,True,11670.762291664907,2530.901792731927,-9139.86049893298,0.24905274795350346,0.05400915814475169,uSv,0.19504358980875178,0.7831416895073374,78.31416895073374
72,523235.0931901159,5697087.828937125,True,True,5786.007955090391,13613.266776024395,7827.258820934004,0.1340970681883104,0.3155023597097155,uSv,-0.1814052915214051,-1.3527908847840022,-135.27908847840024
73,523324.7786641355,5696735.224865026,True,True,3880.474022717463,63381.599519596886,59501.125496879424,0.054763398960851535,0.8944762420643377,uSv,-0.8397128431034862,-15.333468320762337,-1533.3468320762336
