survivor_id,x_m,y_m,original_found,radiation_aware_found,original_discovery_distance_m,radiation_aware_discovery_distance_m,discovery_distance_delta_aware_minus_original_m,original_pre_discovery_total_dose,radiation_aware_pre_discovery_total_dose,dose_unit,dose_delta_original_minus_radiation_aware,dose_reduction_ratio,dose_reduction_percent
38,523278.42582740646,5697398.509283556,True,True,15135.316690472477,84282.37010599625,69147.05341552377,0.0,0.0,uGy,0.0,,
39,523124.59719817375,5697138.596147232,True,True,8630.979152606767,8699.263423854129,68.28427124736118,0.0,0.0,uGy,0.0,,
40,523433.55227908486,5697213.674391468,True,False,15594.352897937642,,,0.0,0.0,uGy,0.0,,
41,522744.417387037,5696825.7889852645,True,True,2454.8716274295975,2454.8716274295975,0.0,0.0,0.0,uGy,0.0,,
42,523338.25290866964,5696873.403281674,True,True,4125.780938230423,4125.780938230423,0.0,0.0015797621611328002,0.0015797621611328002,uGy,0.0,0.0,0.0
43,522656.59437759244,5697008.817315101,True,True,10354.544972394395,10965.083211085597,610.5382386912024,0.0,0.0,uGy,0.0,,
44,523153.92652129923,5696520.330496059,True,True,29573.131309858152,15810.446233398416,-13762.685076459737,0.0021780951426570903,0.0011644575538311962,uGy,0.001013637588825894,0.4653780126378422,46.53780126378422
45,523160.3928243879,5696525.877406251,True,True,28727.294622409394,15809.606983029686,-12917.687639379708,0.0023162643484151107,0.001274719025880027,uGy,0.0010415453225350838,0.4496659991540925,44.96659991540925
46,522482.4912460878,5696865.270520346,True,True,1917.440476184551,1917.440476184551,0.0,0.0,0.0,uGy,0.0,,
47,523179.45895962144,5696525.12006367,True,True,28709.87197280521,15828.785334144784,-12881.086638660425,0.0022467365701736002,0.001238706703580462,uGy,0.0010080298665931383,0.44866402228688973,44.866402228688976
48,522733.72585402406,5697028.284232413,True,True,10265.46448137452,10876.002720065722,610.5382386912024,0.0,0.0,uGy,0.0,,
49,522980.9209025684,5697301.693496049,True,True,43330.314266137844,39910.19981781769,-3420.114448320157,0.0,0.0,uGy,0.0,,
50,522707.49577370915,5697113.546323872,True,True,8091.521292477319,8159.805563724682,68.284271247363,0.0,0.0,uGy,0.0,,
51,522979.09765757894,5697571.673698722,True,True,14742.092232091502,85438.44859692892,70696.35636483743,0.0,0.0,uGy,0.0,,
52,522842.9933938756,5696802.147391681,True,True,256.5049803817723,256.5049803817723,0.0,0.0,0.0,uGy,0.0,,
53,522898.14365523,5697430.293078377,True,True,13057.854540149727,83412.78954874958,70354.93500859986,0.0,0.0,uGy,0.0,,
54,522713.9223017784,5697005.000937431,True,False,47672.55436294532,,,0.0,0.0,uGy,0.0,,
55,522897.7941043027,5696567.492125103,True,True,3384.0627646555486,3384.0627646555486,0.0,9.614775040554429e-05,9.614775040554429e-05,uGy,0.0,0.0,0.0
56,522947.64743694675,5697455.998408939,True,True,13116.24263864628,83471.17764724614,70354.93500859986,0.0,0.0,uGy,0.0,,
57,522875.374213182,5696637.524586228,True,True,4766.114770253334,9542.826166245764,4776.71139599243,0.00020235043004384034,0.00040515075101114364,uGy,-0.0002028003209673033,-1.0022233257590087,-100.22233257590086
58,523338.98575191404,5696622.716228699,False,True,,16106.051296095444,,0.011341406442036846,0.002094546924416775,uGy,0.009246859517620071,0.8153185907654847,81.53185907654847
59,522781.4597655995,5697043.503574454,True,True,10214.856987012627,10825.395225703829,610.5382386912024,0.0,0.0,uGy,0.0,,
60,522877.918900796,5697340.05158372,True,True,7158.266485102148,7226.550756349511,68.284271247363,0.0,0.0,uGy,0.0,,
61,523018.0174790022,5696394.4724619975,True,True,30187.069066341064,18742.2754244658,-11444.793641875265,0.0,0.0,uGy,0.0,,
62,523081.11736861465,5696415.409554907,True,True,30250.931897092927,18806.138255217662,-11444.793641875265,0.0,0.0,uGy,0.0,,
63,522770.0664098702,5696753.747348736,False,True,,28757.77212158466,,0.0,0.0,uGy,0.0,,
64,523175.7191494098,5696687.15984463,True,True,3712.176601574767,3712.176601574767,0.0,0.010398547502425266,0.010398547502425266,uGy,0.0,0.0,0.0
65,523434.74895389134,5696826.280381553,True,True,4028.12057393225,4028.12057393225,0.0,0.00031395168957434275,0.00031395168957434275,uGy,0.0,0.0,0.0
66,522904.3889521106,5696786.055942155,True,True,4942.911566961438,9719.622962953863,4776.7113959924245,0.0007393162579785846,0.0014537737891093113,uGy,-0.0007144575311307267,-0.9663760581759342,-96.63760581759341
67,523218.7080393648,5697039.669150325,True,True,5737.123010469204,5510.848840489408,-226.27416997979617,0.0005469119326260295,0.0005253415316809608,uGy,2.1570400945068757e-05,0.03944035530820697,3.944035530820697
68,522769.4898960521,5696530.872402585,True,True,594.308825844686,594.308825844686,0.0,0.0,0.0,uGy,0.0,,
69,523057.0620742013,5697099.501879108,True,True,9837.95977547755,10448.498014168752,610.5382386912024,0.0,0.0,uGy,0.0,,
70,523193.7340869445,5696585.5976204695,True,True,29137.32364249471,20062.229773651678,-9075.093868843032,0.00662710595554106,0.0045630313904498595,uGy,0.0020640745650912003,0.3114594181741406,31.14594181741406
71,522602.99009687745,5697268.728193819,True,True,11670.762291664907,80157.757907871,68486.99561620608,0.0,0.0,uGy,0.0,,
72,523235.0931901159,5697087.828937125,True,True,5786.007955090391,5559.733785110595,-226.27416997979617,0.0,0.0,uGy,0.0,,
73,523324.7786641355,5696735.224865026,True,True,3880.474022717463,3880.474022717463,0.0,0.0025542700306000693,0.0025542700306000693,uGy,0.0,0.0,0.0
74,523078.75877338107,5696748.782502631,True,True,4522.78143816552,4876.861609277073,354.0801711115528,0.20898279091517674,0.22534366604882666,uGy,-0.01636087513364992,-0.07828814545926213,-7.828814545926213
75,522733.3042571091,5697504.215260472,True,False,53874.40637815159,,,0.0,0.0,uGy,0.0,,
76,522778.1583192075,5697514.587236744,True,False,53855.53194513895,,,0.0,0.0,uGy,0.0,,
77,522638.6940012301,5697329.766779418,True,True,11788.236244361126,80275.23186056722,68486.9956162061,0.0,0.0,uGy,0.0,,
78,522751.01258016465,5696946.41042006,True,False,23840.354638694305,,,0.0,0.0,uGy,0.0,,
79,523404.30215464113,5697325.287066394,True,False,15748.213633901707,,,0.0,0.0,uGy,0.0,,
80,523238.98447642336,5697031.320640749,True,True,5717.091335883888,5490.817165904092,-226.27416997979617,0.0005763837615287844,0.0005535713295476546,uGy,2.2812431981129888e-05,0.03957854732170597,3.9578547321705977
81,523202.753200823,5697245.40298261,True,True,6749.73051703695,39621.52496130831,32871.794444271356,0.0,0.0,uGy,0.0,,
82,523193.19623910234,5697183.825701348,True,True,5904.141497327108,5677.867327347311,-226.27416997979617,0.0,0.0,uGy,0.0,,
83,522539.03472026443,5696762.621366847,False,True,,13402.623089918525,,0.0,0.0,uGy,0.0,,
84,523355.73362253915,5697420.227922904,True,False,16251.37640838026,,,0.0,0.0,uGy,0.0,,
85,523353.65557529544,5697244.914884002,True,True,6136.086989526994,5909.812819547198,-226.27416997979617,0.0,0.0,uGy,0.0,,
86,522766.7100205232,5696996.934132816,True,False,47726.680365853055,,,0.0,0.0,uGy,0.0,,
87,523296.67082683934,5696725.0963258315,True,True,3848.352544327192,3848.352544327192,0.0,0.004829910357511935,0.004829910357511935,uGy,0.0,0.0,0.0
88,522731.8071445958,5696847.684871984,False,True,,47123.61357516246,,0.0,0.0,uGy,0.0,,
89,522966.6170852334,5697196.024145708,True,True,43199.309777761526,79005.93999802797,35806.630220266445,0.0,0.0,uGy,0.0,,
90,523338.25533690606,5696965.788214354,True,True,40336.967195338795,38693.80552942554,-1643.161665913256,0.004841965728771722,0.004644724016605944,uGy,0.00019724171216577765,0.040735875306538494,4.07358753065385
91,523218.88540464384,5697116.692291211,True,True,5826.37238804044,5600.098218060643,-226.27416997979617,0.0,0.0,uGy,0.0,,
92,522592.45806408155,5696839.096939503,False,True,,13181.50193855717,,0.0,0.0,uGy,0.0,,
93,522875.4254994288,5696947.537773756,True,True,24132.137232212237,33189.82409291079,9057.686860698555,0.0009987850580053393,0.0013736661640385524,uGy,-0.0003748811060332131,-0.37533711886107235,-37.53371188610724
94,523159.9365257337,5697225.045066174,True,True,42893.81342749768,39668.81407763694,-3224.9993498607364,0.0,0.0,uGy,0.0,,
95,523392.75022980326,5696608.84735645,False,True,,16658.74970035145,,0.004716809737194596,0.0009010001498088689,uGy,0.003815809587385727,0.8089810274296215,80.89810274296215
96,522606.88547925075,5696583.832816892,True,True,772.8628645779196,772.8628645779196,0.0,0.0,0.0,uGy,0.0,,
97,522416.24037758756,5696751.384307366,True,True,1777.2766325849677,1777.2766325849677,0.0,0.0,0.0,uGy,0.0,,
98,522614.98475117446,5697375.775148595,True,True,11843.639105228887,80330.634721435,68486.99561620611,0.0,0.0,uGy,0.0,,
99,522674.246223303,5697108.8041538065,True,True,8056.586199684417,8124.87047093178,68.284271247363,0.0,0.0,uGy,0.0,,
